125Hz,250Hz,500Hz
93.9295911640582,89.91598099368534,84.97335351573967
93.92602794669757,89.90876746604825,84.95902057855358
93.92246791161594,89.90155956485738,84.94469665452634
93.91891104216187,89.89435726073432,84.93038169522453
93.91535732175703,89.88716052442058,84.91607565239906
93.91180673389738,89.87996932678462,84.90177847801972
93.90825926215207,89.87278363881575,84.88749012424364
93.9047148901646,89.86560343163029,84.87321054344599
93.90117360165176,89.85842867646623,84.85893968819195
93.89763538040458,89.85125934468837,84.84467751126382
93.89410021028763,89.84409540778394,84.83042396563633
93.89056807523946,89.83693683736692,84.81617900450053
93.88703895927227,89.82978360517423,84.8019425812418
93.88351284647214,89.8226356830694,84.78771464946124
93.8799897209988,89.81549304303931,84.77349516295587
93.87646956708565,89.80835565719738,84.75928407573774
93.8729523690398,89.8012234977807,84.74508134201626
93.8694381112418,89.7940965371526,84.73088691621514
93.86592677814579,89.78697474780041,84.71670075295668
93.8624183542793,89.7798581023375,84.70252280707669
93.85891282424316,89.7727465735013,84.68835303361061
93.85541017271144,89.76564013415506,84.67419138780667
93.85191038443142,89.75853875728617,84.66003782511338
93.84841344422334,89.75144241600752,84.64589230119145
93.84491933698042,89.74435108355613,84.63175477190241
93.8414280476686,89.73726473329421,84.61762519331914
93.83793956132664,89.73018333870799,84.6035035217159
93.83445386306569,89.72310687340858,84.58938971357739
93.8309709380695,89.7160353111309,84.57528372559003
93.8274907715939,89.70896862573437,84.56118551464982
93.82401334896707,89.70190679120202,84.54709503785463
93.82053865558893,89.69484978164101,84.53301225251107
93.81706667693145,89.68779757128175,84.51893711612753
93.81359739853808,89.68075013447836,84.50486958642038
93.81013080602389,89.67370744570792,84.49080962130759
93.80666688507519,89.66666947957067,84.4767571789142
93.80320562144956,89.65963621078953,84.46271221756658
93.79974700097533,89.65260761421001,84.44867469579721
93.79629100955188,89.64558366479989,84.43464457233966
93.79283763314899,89.638564337649,84.4206218061326
93.78938685780697,89.63154960796899,84.40660635631525
93.78593866963625,89.62453945109304,84.39259818223104
93.78249305481737,89.61753384247557,84.37859724342333
93.77904999960057,89.610532757692,84.36460349963875
93.77560949030583,89.60353617243841,84.35061691082318
93.77217151332238,89.59654406253134,84.33663743712471
93.7687360551088,89.58955640390734,84.32266503888998
93.76530310219249,89.58257317262283,84.30869967666679
93.76187264116972,89.57559434485373,84.29474131120072
93.75844465870517,89.56861989689497,84.28078990343732
93.75501914153203,89.56164980516047,84.26684541451914
93.75159607645132,89.55468404618253,84.25290780578756
93.74817545033216,89.54772259661172,84.23897703878006
93.74475725011109,89.54076543321632,84.22505307523178
93.7413414627922,89.53381253288217,84.21113587707298
93.73792807544667,89.52686387261213,84.19722540643039
93.73451707521264,89.51991942952594,84.1833216256249
93.73110844929482,89.51297918085959,84.1694244971726
93.72770218496454,89.50604310396525,84.15553398378268
93.72429826955917,89.49911117631059,84.14165004835834
93.72089669048216,89.4921833754787,84.12777265399477
93.71749743520256,89.48525967916746,84.11390176397984
93.714100491255,89.47834006518934,84.1000373417923
93.71070584623916,89.4714245114709,84.08617935110237
93.70731348781987,89.46451299605246,84.07232775576992
93.70392340372649,89.45760549708764,84.05848251984489
93.70053558175302,89.45070199284308,84.04464360756579
93.69715000975748,89.44380246169787,84.03081098335987
93.69376667566198,89.43690688214332,84.01698461184161
93.69038556745218,89.43001523278241,84.00316445781293
